HV,front
mean:1.6105100000000028,
1.6105100000000008,"[[1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 0.6820408822343391, 1.0], [1.0, 0.014929104249871535, 0.04107581229767682, 1.0, 1.0], [0.0, 1.0, 1.0, 1.0, 1.0], [0.7621403393162207, 0.06834290982828185, 0.09007063968963276, 0.8867841509616081, 1.0], [0.6018980415924122, 0.05028574136882831, 0.10279557184549086, 1.0, 1.0], [1.0, 0.0178174988773416, 0.040927066861465806, 1.0, 1.0], [1.0, 1.0, 1.0, 0.3869462092930065, 0.26567955961167544], [0.0, 1.0, 0.3076372304675642, 1.0, 1.0], [0.2192, 0.03679357986013909, 0.08435113775532548, 0.8805895369320238, 1.0]]"
1.6105100000000008,"[[1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [0.6018980415924122, 0.05028574136882831, 0.10279557184549086, 1.0, 1.0], [1.0, 0.035486413361288695, 0.07912105628855123, 1.0, 1.0], [1.0, 1.0, 1.0, 0.6820408822343391, 1.0], [1.0, 0.006939670366353186, 0.34870536558143655, 1.0, 0.0], [0.21577712079481554, 0.06741459322940659, 0.0840296556835146, 0.8465334330735262, 1.0], [1.0, 0.007497197701422987, 0.3371080197968555, 1.0, 0.0], [0.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 0.3869462092930065, 0.26567955961167544]]"
1.6105100000000008,"[[1.0, 1.0, 1.0, 1.0, 1.0], [0.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 0.8130825173137713, 1.0], [1.0, 0.007497197701422987, 0.3371080197968555, 1.0, 0.0], [0.0, 1.0, 1.0, 1.0, 1.0], [0.2375971928609397, 0.02536628465025056, 0.05427097196155683, 1.0, 1.0], [1.0, 0.0178174988773416, 0.040927066861465806, 1.0, 1.0], [0.7621403393162207, 0.06834290982828185, 0.09007063968963276, 0.8867841509616081, 1.0], [1.0, 0.006939670366353186, 0.34870536558143655, 1.0, 0.0], [1.0, 0.014929104249871535, 0.04107581229767682, 1.0, 1.0]]"
1.6105100000000008,"[[1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 0.035486413361288695, 0.07912105628855123, 1.0, 1.0], [0.21577712079481554, 0.06741459322940659, 0.0840296556835146, 0.8465334330735262, 1.0], [1.0, 1.0, 1.0, 0.8130825173137713, 1.0], [0.0, 1.0, 0.3076372304675642, 1.0, 1.0], [1.0, 0.007497197701422987, 0.3371080197968555, 1.0, 0.0], [0.2192, 0.03679357986013909, 0.08435113775532548, 0.8805895369320238, 1.0], [0.2154983864098227, 0.03767621952071948, 0.08165932518389397, 0.9970311527231486, 1.0], [1.0, 1.0, 1.0, 0.3869462092930065, 0.26567955961167544], [0.0, 0.6359847489512604, 0.2773507403590513, 1.0, 1.0]]"
1.6105100000000008,"[[1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [0.0, 1.0, 1.0, 1.0, 1.0], [0.6018980415924122, 0.05028574136882831, 0.10279557184549086, 1.0, 1.0], [1.0, 0.006939670366353186, 0.34870536558143655, 1.0, 0.0], [1.0, 1.0, 1.0, 0.8130825173137713, 1.0], [1.0, 0.007497197701422987, 0.3371080197968555, 1.0, 0.0], [1.0, 0.035486413361288695, 0.07912105628855123, 1.0, 1.0], [1.0, 1.0, 1.0, 0.6820408822343391, 1.0], [0.0, 1.0, 0.3076372304675642, 1.0, 1.0]]"
1.6105100000000008,"[[1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [0.0, 1.0, 1.0, 1.0, 1.0], [0.6018980415924122, 0.05028574136882831, 0.10279557184549086, 1.0, 1.0], [1.0, 0.007497197701422987, 0.3371080197968555, 1.0, 0.0], [0.7621403393162207, 0.06834290982828185, 0.09007063968963276, 0.8867841509616081, 1.0], [1.0, 0.035486413361288695, 0.07912105628855123, 1.0, 1.0], [1.0, 1.0, 1.0, 0.8130825173137713, 1.0], [1.0, 1.0, 1.0, 0.6820408822343391, 1.0], [1.0, 0.0178174988773416, 0.040927066861465806, 1.0, 1.0]]"
1.6105100000000008,"[[1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [0.0, 1.0, 0.11902801735200216, 1.0, 1.0], [0.0, 0.6359847489512604, 0.2773507403590513, 1.0, 1.0], [0.7621403393162207, 0.06834290982828185, 0.09007063968963276, 0.8867841509616081, 1.0], [1.0, 1.0, 1.0, 0.6820408822343391, 1.0], [0.6018980415924122, 0.05028574136882831, 0.10279557184549086, 1.0, 1.0], [1.0, 0.007497197701422987, 0.3371080197968555, 1.0, 0.0], [1.0, 1.0, 1.0, 0.39594431424013127, 0.16083009662925396], [0.21577712079481554, 0.06741459322940659, 0.0840296556835146, 0.8465334330735262, 1.0]]"
1.6105100000000008,"[[1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 0.8130825173137713, 1.0], [1.0, 0.006939670366353186, 0.34870536558143655, 1.0, 0.0], [0.0, 1.0, 1.0, 1.0, 1.0], [0.2375971928609397, 0.02536628465025056, 0.05427097196155683, 1.0, 1.0], [0.7621403393162207, 0.06834290982828185, 0.09007063968963276, 0.8867841509616081, 1.0], [1.0, 0.007497197701422987, 0.3371080197968555, 1.0, 0.0], [1.0, 1.0, 1.0, 0.3582080948104931, 0.15996907186418963], [0.0, 1.0, 0.3076372304675642, 1.0, 1.0], [0.21577712079481554, 0.06741459322940659, 0.0840296556835146, 0.8465334330735262, 1.0]]"
1.6105100000000008,"[[1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 0.6820408822343391, 1.0], [0.2375971928609397, 0.02536628465025056, 0.05427097196155683, 1.0, 1.0], [0.0, 1.0, 1.0, 1.0, 1.0], [1.0, 0.007497197701422987, 0.3371080197968555, 1.0, 0.0], [0.2192, 0.03679357986013909, 0.08435113775532548, 0.8805895369320238, 1.0], [1.0, 0.0178174988773416, 0.040927066861465806, 1.0, 1.0], [0.2154983864098227, 0.03767621952071948, 0.08165932518389397, 0.9970311527231486, 1.0], [1.0, 0.014929104249871535, 0.04107581229767682, 1.0, 1.0]]"
1.6105100000000008,"[[1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [0.0, 1.0, 1.0, 1.0, 1.0], [0.7621403393162207, 0.06834290982828185, 0.09007063968963276, 0.8867841509616081, 1.0], [1.0, 0.0178174988773416, 0.040927066861465806, 1.0, 1.0], [1.0, 1.0, 1.0, 0.3869462092930065, 0.26567955961167544], [1.0, 1.0, 1.0, 0.39594431424013127, 0.16083009662925396], [0.6018980415924122, 0.05028574136882831, 0.10279557184549086, 1.0, 1.0], [1.0, 1.0, 1.0, 0.14774856506174688, 0.15967721831021767], [0.0, 1.0, 0.3076372304675642, 1.0, 1.0]]"
1.6105100000000008,"[[1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 0.39594431424013127, 0.16083009662925396], [1.0, 0.0178174988773416, 0.040927066861465806, 1.0, 1.0], [0.21577712079481554, 0.06741459322940659, 0.0840296556835146, 0.8465334330735262, 1.0], [1.0, 0.006939670366353186, 0.34870536558143655, 1.0, 0.0], [1.0, 0.014929104249871535, 0.04107581229767682, 1.0, 1.0], [0.0, 1.0, 1.0, 1.0, 1.0], [0.6018980415924122, 0.05028574136882831, 0.10279557184549086, 1.0, 1.0], [0.0, 1.0, 1.0, 1.0, 1.0]]"
1.6105100000000008,"[[1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 0.8130825173137713, 1.0], [1.0, 0.007497197701422987, 0.3371080197968555, 1.0, 0.0], [1.0, 0.006939670366353186, 0.34870536558143655, 1.0, 0.0], [1.0, 0.035486413361288695, 0.07912105628855123, 1.0, 1.0], [0.6018980415924122, 0.05028574136882831, 0.10279557184549086, 1.0, 1.0], [0.0, 1.0, 1.0, 1.0, 1.0], [0.7621403393162207, 0.06834290982828185, 0.09007063968963276, 0.8867841509616081, 1.0], [1.0, 1.0, 1.0, 0.3869462092930065, 0.26567955961167544]]"
1.6105100000000008,"[[1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 0.6820408822343391, 1.0], [0.2154983864098227, 0.03767621952071948, 0.08165932518389397, 0.9970311527231486, 1.0], [0.0, 1.0, 1.0, 1.0, 1.0], [1.0, 0.007497197701422987, 0.3371080197968555, 1.0, 0.0], [0.7621403393162207, 0.06834290982828185, 0.09007063968963276, 0.8867841509616081, 1.0], [1.0, 0.035486413361288695, 0.07912105628855123, 1.0, 1.0], [1.0, 1.0, 1.0, 0.3869462092930065, 0.26567955961167544], [0.0, 1.0, 0.3076372304675642, 1.0, 1.0], [1.0, 0.0178174988773416, 0.040927066861465806, 1.0, 1.0]]"
1.6105100000000008,"[[1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 0.000696707652933011, 0.006087047108944793, 0.8562849545136458, 0.0], [0.0, 1.0, 1.0, 1.0, 1.0], [0.21577712079481554, 0.06741459322940659, 0.0840296556835146, 0.8465334330735262, 1.0], [1.0, 1.0, 1.0, 0.8130825173137713, 1.0], [0.6018980415924122, 0.05028574136882831, 0.10279557184549086, 1.0, 1.0], [0.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 0.6820408822343391, 1.0], [0.0, 1.0, 0.3076372304675642, 1.0, 1.0]]"
1.6105100000000008,"[[1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 0.014929104249871535, 0.04107581229767682, 1.0, 1.0], [0.6018980415924122, 0.05028574136882831, 0.10279557184549086, 1.0, 1.0], [1.0, 1.0, 1.0, 0.14774856506174688, 0.15967721831021767], [1.0, 0.007497197701422987, 0.3371080197968555, 1.0, 0.0], [0.0, 1.0, 0.3076372304675642, 1.0, 1.0], [0.7621403393162207, 0.06834290982828185, 0.09007063968963276, 0.8867841509616081, 1.0], [0.0, 1.0, 0.11902801735200216, 1.0, 1.0], [1.0, 1.0, 1.0, 0.01624722366152099, 0.0290640930772468]]"
1.6105100000000008,"[[1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 0.6820408822343391, 1.0], [1.0, 0.007497197701422987, 0.3371080197968555, 1.0, 0.0], [0.0, 1.0, 1.0, 1.0, 1.0], [0.21563460998143574, 0.03482544119537461, 0.0801238884230061, 0.807338939697401, 1.0], [0.19955383733757734, 0.05174337307617949, 0.062384795594873595, 0.7019044795483632, 1.0], [1.0, 0.035486413361288695, 0.07912105628855123, 1.0, 1.0], [1.0, 1.0, 1.0, 0.3869462092930065, 0.26567955961167544], [0.0, 0.6359847489512604, 0.2773507403590513, 1.0, 1.0], [0.0, 1.0, 0.11902801735200216, 1.0, 1.0]]"
1.6105100000000008,"[[1.0, 1.0, 1.0, 1.0, 1.0], [0.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 0.8130825173137713, 1.0], [1.0, 0.006939670366353186, 0.34870536558143655, 1.0, 0.0], [1.0, 0.007497197701422987, 0.3371080197968555, 1.0, 0.0], [1.0, 0.0178174988773416, 0.040927066861465806, 1.0, 1.0], [0.21561889187701885, 0.03148565094240225, 0.06626177341611543, 0.8663790352549408, 1.0], [0.2192, 0.03230246207426356, 0.07762400544668557, 0.8396308631548466, 1.0], [0.2154983864098227, 0.03767621952071948, 0.08165932518389397, 0.9970311527231486, 1.0], [1.0, 1.0, 1.0, 0.3582080948104931, 0.15996907186418963]]"
1.6105100000000008,"[[1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [0.0, 1.0, 1.0, 1.0, 1.0], [1.0, 0.006939670366353186, 0.34870536558143655, 1.0, 0.0], [1.0, 1.0, 1.0, 0.39594431424013127, 0.16083009662925396], [1.0, 0.0178174988773416, 0.040927066861465806, 1.0, 1.0], [0.6018980415924122, 0.05028574136882831, 0.10279557184549086, 1.0, 1.0], [0.0, 1.0, 1.0, 1.0, 1.0], [0.7621403393162207, 0.06834290982828185, 0.09007063968963276, 0.8867841509616081, 1.0], [1.0, 1.0, 1.0, 0.3582080948104931, 0.15996907186418963]]"
1.6105100000000008,"[[1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [0.7621403393162207, 0.06834290982828185, 0.09007063968963276, 0.8867841509616081, 1.0], [0.0, 1.0, 1.0, 1.0, 1.0], [1.0, 0.006939670366353186, 0.34870536558143655, 1.0, 0.0], [1.0, 1.0, 1.0, 0.3869462092930065, 0.26567955961167544], [1.0, 0.014929104249871535, 0.04107581229767682, 1.0, 1.0], [0.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 0.35817845515653607, 0.15997191090654342], [0.0, 1.0, 0.3076372304675642, 1.0, 1.0]]"
1.6105100000000008,"[[1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 0.3869462092930065, 0.26567955961167544], [0.0, 1.0, 1.0, 1.0, 1.0], [1.0, 0.035486413361288695, 0.07912105628855123, 1.0, 1.0], [1.0, 0.006939670366353186, 0.34870536558143655, 1.0, 0.0], [0.19955383733757734, 0.05174337307617949, 0.062384795594873595, 0.7019044795483632, 1.0], [0.2192, 0.03679357986013909, 0.08435113775532548, 0.8805895369320238, 1.0], [0.21441802869956855, 0.0479696519094058, 0.06558522159334923, 0.8215266040877391, 1.0], [0.2154983864098227, 0.03767621952071948, 0.08165932518389397, 0.9970311527231486, 1.0]]"
1.6105100000000008,"[[1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 0.014929104249871535, 0.04107581229767682, 1.0, 1.0], [0.2375971928609397, 0.02536628465025056, 0.05427097196155683, 1.0, 1.0], [1.0, 0.0178174988773416, 0.040927066861465806, 1.0, 1.0], [0.0, 1.0, 1.0, 1.0, 1.0], [0.7621403393162207, 0.06834290982828185, 0.09007063968963276, 0.8867841509616081, 1.0], [1.0, 0.007497197701422987, 0.3371080197968555, 1.0, 0.0], [0.2154983864098227, 0.03767621952071948, 0.08165932518389397, 0.9970311527231486, 1.0], [1.0, 1.0, 1.0, 0.8130825173137713, 1.0], [1.0, 0.006939670366353186, 0.34870536558143655, 1.0, 0.0]]"
1.6105100000000008,"[[1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [0.0, 1.0, 1.0, 1.0, 1.0], [1.0, 0.035486413361288695, 0.07912105628855123, 1.0, 1.0], [0.0, 1.0, 1.0, 1.0, 1.0], [0.6018980415924122, 0.05028574136882831, 0.10279557184549086, 1.0, 1.0], [0.7621403393162207, 0.06834290982828185, 0.09007063968963276, 0.8867841509616081, 1.0], [1.0, 1.0, 1.0, 0.6820408822343391, 1.0], [1.0, 0.006939670366353186, 0.34870536558143655, 1.0, 0.0], [1.0, 1.0, 1.0, 0.39594431424013127, 0.16083009662925396]]"
